probe_id	n_genes	gene_ids	gene_names	cigars	transcript_ids	transcript_types
ENSG00000134440|NARS|1f419e5	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|d3ab53b	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|527da65	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|5d57725	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|5675b5b	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|040c607	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|2452a2c	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|185816f	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|6cf086d	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|d4dec20	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|b886a02	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|de75df5	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|e87b554	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|0036e0f	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|15af113	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|61200ab	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|2bd068a	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|ce7ac90	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|1e8dc26	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000134440|NARS|1d159d8	1	[ENSG00000134440]	[NARS1]	[=40]	[ENST00000256854.10]	[protein_coding]
ENSG00000261371|PECAM1|1de4898	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|fae7f98	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|457a640	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|938b0ab	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|2f2a723	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|520d96b	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|e767d00	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|639cb44	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|3798035	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|4ed7878	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|0589934	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|1526746	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|35bc851	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|718691c	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|95a74ce	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|a4130ee	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|44dd771	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|8b2f74c	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|5473d8f	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000261371|PECAM1|1636b6b	1	[ENSG00000261371]	[PECAM1]	[=40]	[ENST00000563924.6]	[protein_coding]
ENSG00000096696|DSP|e754c34	1	[ENSG00000096696,ENSG00000096696,ENSG00000096696,ENSG00000096696,ENSG00000096696]	[DSP,DSP,DSP,DSP,DSP]	[=40,=40,=40,=40,=40]	[ENST00000710359.2,ENST00000713909.1,ENST00000418664.3,ENST00000713904.1,ENST00000379802.8]	[protein_coding,protein_coding,protein_coding,protein_coding,protein_coding]
